Month,Artist,Minutes Played
January,Tame Impala,379
January,Kanye West,359
January,Kendrick Lamar,266
January,Declan McKenna,262
January,JAY-Z,205
January,J. Cole,183
January,Frank Ocean,173
January,Dominic Fike,122
January,Quinn XCII,120
January,Wallows,118
February,Kanye West,1029
February,Wallows,167
February,Declan McKenna,148
February,Kendrick Lamar,130
February,JAY-Z,100
February,Quinn XCII,88
February,¥$,75
February,Tame Impala,70
February,Stavros Hughes,60
February,Sunday Service Choir,57
March,Kanye West,421
March,Quinn XCII,101
March,Declan McKenna,92
March,Chance the Rapper,62.6
March,JAY-Z,62.5
March,Wallows,54.8
March,Tame Impala,54.5
March,¥$,51
March,Tears For Fears,50
March,Steve Lacy,48
April,Kanye West,289
April,Wallows,113
April,Declan McKenna,76
April,Kendrick Lamar,70
April,The Wrecks,58
April,Quinn XCII,56.9
April,Blue Ã–yster Cult,56.8
April,Chance the Rapper,55.9
April,JAY-Z,55
April,Tame Impala,50
May,Kanye West,317
May,Wallows,276
May,Kendrick Lamar,155
May,Childish Gambino,141
May,MGMT,126
May,Declan McKenna,119
May,The Wrecks,63
May,Two Door Cinema Club,62
May,Tame Impala,59
May,Steve Lacy,53
June,Kanye West,274
June,Eminem,147
June,The Beatles,145
June,Kendrick Lamar,70
June,Supertramp,69
June,Tame Impala,58
June,Wallows,49
June,JAY-Z,47
June,Declan McKenna,46.5
June,Electric Light Orchestra,46.4
July,Kanye West,506
July,Wallows,174
July,Declan McKenna,107
July,Jon Bellion,99
July,Quinn XCII,95
July,JAY-Z,94
July,The Wrecks,9
July,AJR,88
July,Kenny Loggins,82
July,Kendrick Lamar,77
August,Kanye West,450
August,¥$,97
August,Wallows,85
August,Jon Bellion,62
August,Tame Impala,58
August,Quinn XCII,44.7
August,JAY-Z,44.1
August,Stavros Hughes,42
August,AJR,40
August,Kendrick Lamar,34
September,Kanye West,988
September,Quinn XCII,222
September,Jon Bellion,177
September,Wallows,174
September,Tame Impala,117
September,Kendrick Lamar,107
September,JAY-Z,85
September,Kid Cudi,82
September,Eminem,77.8
September,The Wrecks,77
October,Quinn XCII,681
October,Kanye West,637
October,Tyler The Creator,284
October,Tame Impala,173
October,Wallows,125
October,Jon Bellion,113
October,JAY-Z,98
October,Kendrick Lamar,76
October,Kid Cudi,73
October,Eminem,64
November,Kanye West,354
November,Quinn XCII,201
November,Tame Impala,143
November,Wallows,127
November,Tyler The Creator,96
November,JAY-Z,92
November,Leslie Odom Jr.,89
November,Knox,75
November,Declan McKenna
November,The Wrecks,58
December,Kanye West,87
December,Kendrick Lamar,59
December,Declan McKenna,42
December,Wallows,37
December,Leslie Odom Jr.,34
December,Jon Bellion,27
December,Logic,26
December,Phoenix,25
December,JAY-Z,24
December,Cage The Elephant,21
